Brand,Labelled energy consumption (kWh/year),New Star,Prog Name,Prog Time,standbyPowerUsage,Tot Wat Cons,Water_Softener,Water Consumption (litres)
EURO,256,3.0,Eco,170.0,0.46,10.0,No,10.2
EURO,256,3.0,Eco,170.0,0.46,10.0,No,10.2
EURO,256,3.0,Eco,170.0,0.46,10.0,No,10.2
EURO,256,3.0,Eco,170.0,0.46,10.0,No,10.2
AKAI,267,3.0,ECO,186.06,-,10.7,No,22.0
ROBAM,287,3.0,ECO,174.2,0.49,12.3,No,25.0
HISENSE,246,4.0,Eco,204.0,0.41,11.8,No,12.2
HISENSE,246,4.0,Eco,204.0,0.41,11.8,No,12.2
FOTILE,155,1.0,ECO,210.0,-,6.2,No,6.2
FOTILE,155,1.0,ECO,210.0,-,6.2,No,6.2
BEKO,324,3.0,Eco 45ºC,126.0,0.458,15.03,No,15.3
BEKO,275,3.5,Eco 45ºC,133.0,0.34,13.78,No,13.8
HOOVER,299,3.0,Eco 50°,142.59,0.06,12.3,No,23.0
HOOVER,299,3.0,Eco 50°,142.59,0.06,12.3,No,23.0
HOOVER,299,3.0,Eco 50°,142.59,0.06,12.3,No,23.0
Inalto,189,3.5,ECO,209.4,0.478834,11.0,No,11.0
Inalto,189,3.5,ECO,209.4,0.478834,11.0,No,11.0
Omega,164,2.5,Normal,129.91,0.52,7.4,No,7.4
Belling,236,4.0,Normal,153.0,0.34,11.1,No,11.1
HISENSE,275,3.5,ECO,185.0,0.48,12.7,No,12.7
HISENSE,246,4.0,Eco,204.0,0.41,11.8,No,12.2
Midea,270,3.0,ECO,190.0,0.48,10.7,No,10.8
Midea,270,3.0,ECO,190.0,0.48,10.7,No,10.8
Midea,270,3.0,ECO,190.0,0.48,10.7,No,10.8
Midea,287,3.0,ECO,180.0,0.49,12.3,No,12.3
Midea,287,3.0,ECO,180.0,0.49,12.3,No,12.3
Midea,287,3.0,ECO,180.0,0.49,12.3,No,12.3
Midea,287,3.0,ECO,180.0,0.49,12.3,No,12.3
HISENSE,241,4.0,Eco 55,165.0,0.7,10.86,No,10.9
HISENSE,241,4.0,Eco 55,165.0,0.7,10.86,No,10.9
HISENSE,241,4.0,Eco 55,165.0,0.7,10.86,No,10.9
Ilve,205,3.0,ECO,181.89,0.47,10.9,No,10.9
Ilve,205,3.0,ECO,181.89,0.47,10.9,No,10.9
Ilve,205,3.0,ECO,181.89,0.47,10.9,No,10.9
Ilve,205,3.0,ECO,181.89,0.47,10.9,No,10.9
Ilve,158,2.5,ECO,129.91,0.52,7.4,No,7.4
Ilve,276,3.5,ECO,191.16,0.679,12.48,No,12.48
PARMCO,267,3.0,ECO,186.0,0.48,10.7,No,22.0
PARMCO,267,3.0,ECO,186.0,0.48,10.7,No,22.0
PARMCO,267,3.0,ECO,186.0,0.48,10.7,No,22.0
Inalto,319,3.0,ECO,180.0,0.50008,12.02,No,12.3
Inalto,319,3.0,ECO,180.0,0.50008,12.02,No,12.3
Inalto,319,3.0,ECO,180.0,0.50008,12.02,No,12.3
Inalto,319,3.0,ECO,180.0,0.50008,12.02,No,12.3
LG,246,4.0,Eco + Energy Saver,175.0,0.42,10.53,Yes,11.1
LG,246,4.0,Eco + Energy Saver,175.0,0.42,10.53,Yes,11.1
LG,246,4.0,Eco + Energy Saver,175.0,0.42,10.53,Yes,11.1
LG,246,4.0,Eco + Energy Saver,175.0,0.42,10.53,Yes,11.1
LG,230,4.0,Eco + Energy Saver,172.0,0.41,10.57,Yes,11.5
LG,230,4.0,Eco + Energy Saver,172.0,0.41,10.57,Yes,11.5
LG,230,4.0,Eco + Energy Saver,172.0,0.41,10.57,Yes,11.5
LG,230,4.0,Eco + Energy Saver,172.0,0.41,10.57,Yes,11.5
LG,230,4.0,Eco + Energy Saver,172.0,0.41,10.57,Yes,11.5
AKAI,164,2.5,Normal,129.91,0.52,7.4,No,12.0
Esatto,280,3.5,Eco,191.16,0.679,12.48,No,26.5
FISHER & PAYKEL,287,3.5,Eco,174.0,0.69,11.0,No,11.6
FISHER & PAYKEL,245,4.0,Eco,230.0,1.2,11.0,No,10.8
STIRLING,294,3.5,ECO,155.15,0.08,13.4,No,27.0
Astivita,256,3.0,Normal (previously marked eco),170.0,0.46,10.2,No,10.5
HOOVER,164,2.5,Normal,129.91,0.52,7.4,No,12.0
BOSCH,245,4.0,Eco Wash,192.0,0.21,10.76,Yes,11.0
BOSCH,245,4.0,Eco Wash,192.0,0.21,10.76,Yes,11.0
BOSCH,245,4.0,Eco Wash,192.0,0.21,10.76,Yes,11.0
ASKO,216,4.5,ECO,178.0,-,10.63,No,10.6
ASKO,216,4.5,ECO,178.0,-,10.63,No,10.6
ASKO,216,4.5,ECO,178.0,-,10.63,No,10.6
ASKO,216,4.5,ECO,178.0,-,10.63,No,10.6
ASKO,216,4.5,ECO,178.0,-,10.63,No,10.6
ASKO,216,4.5,ECO,178.0,-,10.63,No,10.6
ASKO,216,4.5,ECO,178.0,-,10.63,No,10.6
ASKO,216,4.5,ECO,178.0,-,10.63,No,10.6
ASKO,216,4.5,ECO,178.0,-,10.63,No,10.6
ASKO,216,4.5,ECO,178.0,-,10.63,No,10.6
ASKO,216,4.5,ECO,178.0,-,10.63,No,10.6
ASKO,216,4.5,ECO,178.0,-,10.63,No,10.6
ASKO,216,4.5,ECO,178.0,-,10.63,No,10.6
ASKO,222,4.0,ECO,168.0,-,10.14,No,10.1
ASKO,222,4.0,ECO,168.0,-,10.14,No,10.1
BOSCH,305,3.0,Eco Wash,135.0,0.127,13.42,No,13.5
Hafele,164,2.5,Eco,129.91,0.52,7.4,No,7.4
Devanti,158,2.5,Normal,130.0,0.52,7.4,No,7.4
Devanti,158,2.5,Normal,130.0,0.52,7.4,No,7.4
Artusi,245,4.0,Economic 50 degree,136.29,0.08,12.0,No,12.2
WHIRLPOOL,325,3.0,Eco 50 degree C,159.0,1.032,11.9,Yes,12.5
ASKO,222,4.0,ECO,168.0,-,10.14,No,10.1
ASKO,216,4.5,ECO,178.0,-,10.63,No,10.6
GAGGENAU,300,3.0,Eco,293.0,0.34,9.25,Yes,9.8
GAGGENAU,300,3.0,Eco,293.0,0.34,9.25,Yes,9.8
GAGGENAU,300,3.0,Eco,293.0,0.34,9.25,Yes,9.8
GAGGENAU,300,3.0,Eco,293.0,0.34,9.25,Yes,9.8
Ilve,245,4.0,Economic 50 degree,136.29,0.08,12.0,No,12.2
Smeg,240,4.0,Normal Eco,139.0,0.192,11.7,Yes,11.7
Smeg,240,4.0,Normal Eco,139.0,0.192,11.7,Yes,11.7
Artusi,245,4.0,Economic 50°C,136.29,0.08,12.0,No,12.2
BEKO,275,3.5,Eco 45ºC,133.0,0.34,13.78,No,13.8
BEKO,275,3.5,Eco 45ºC,133.0,0.34,13.78,No,13.8
BEKO,275,3.5,Eco 45ºC,133.0,0.34,13.78,No,13.8
majestic,294,3.5,Eco 50° C,156.93,0.08,13.4,No,27.0
Esatto,256,3.0,ECO,171.13,-,10.2,No,10.2
Midea,267,3.0,ECO,186.06,0.48,10.7,No,10.7
BLANCO,256,3.0,Normal,170.0,0.46,10.2,No,10.2
Emilia,256,3.0,ECO,175.0,0.46,10.2,No,10.2
Artusi,256,3.0,Eco,171.0,0.46,10.2,No,10.2
Artusi,256,3.0,Eco,171.0,0.46,10.2,No,10.2
Artusi,256,3.0,Eco,171.0,0.46,10.2,No,10.2
Esatto,164,2.5,Eco,129.91,0.52,7.4,No,7.4
Esatto,164,2.5,Eco,129.91,0.52,7.4,No,7.4
Esatto,164,2.5,Eco,129.91,0.52,7.4,No,7.4
Esatto,270,3.0,Eco,186.06,-,10.7,No,22.0
Esatto,270,3.0,Eco,186.06,-,10.7,No,22.0
Esatto,270,3.0,Eco,186.06,-,10.7,No,22.0
Artusi,299,3.0,Eco 50 degree,142.59,0.06,12.3,No,12.8
Artusi,299,3.0,Eco 50 degree,142.59,0.06,12.3,No,12.8
Artusi,299,3.0,Eco 50 degree,142.59,0.06,12.3,No,12.8
Technika,164,2.5,ECO,129.0,0.52,7.4,No,7.4
KLEENMAID,238,4.0,ECO,187.2,0.511201,11.78,No,11.8
KLEENMAID,238,4.0,ECO,187.2,0.511201,11.78,No,11.8
KLEENMAID,238,4.0,ECO,187.2,0.511201,11.78,No,11.8
Euromaid,324,3.0,ECO 45C,136.0,0.349,9.95,No,11.2
Euromaid,312,3.0,ECO 45C,151.0,0.1,11.2,No,11.2
Home Appliances,324,3.0,ECO 45C,136.0,0.349,9.95,No,11.2
De’Longhi,265,3.0,ECO,170.0,0.46,10.2,No,10.5
TECHNIKA,315,3.0,ECO,180.0,0.499,12.03,No,12.03
Glen Dimplex,320,3.0,ECO,180.0,0.50008,12.02,No,12.2
De’Longhi,295,3.5,Eco,174.0,0.57,11.3,No,12.2
Emilia,256,3.0,ECO,170.0,0.46,10.2,No,10.2
BEKO,324,3.0,Eco 45ºC,126.0,0.458,15.03,No,15.3
BEKO,324,3.0,Eco 45ºC,126.0,0.458,15.03,No,15.3
BEKO,324,3.0,Eco 45ºC,126.0,0.458,15.03,No,15.3
BEKO,263,4.0,Eco 45°C,196.0,0.382,12.65,No,13.0
BEKO,263,4.0,Eco 45°C,196.0,0.382,12.65,No,13.0
BEKO,263,4.0,Eco 45°C,196.0,0.382,12.65,No,13.0
BEKO,263,4.0,Eco 45°C,196.0,0.382,12.65,No,13.0
TECO,295,3.0,ECO,175.0,0.49,12.3,No,12.5
TECO,295,3.0,ECO,175.0,0.49,12.3,No,12.5
TECO,295,3.0,ECO,175.0,0.49,12.3,No,12.5
FOTILE,190,1.5,ECO,238.0,0.43,6.1,No,6.2
FOTILE,190,1.5,ECO,238.0,0.43,6.1,No,6.2
FISHER & PAYKEL,136,3.5,Eco,163.0,0.4639,6.837,No,6.9
FISHER & PAYKEL,136,3.5,Eco,163.0,0.4639,6.837,No,6.9
FISHER & PAYKEL,136,3.5,Eco,163.0,0.4639,6.837,No,6.9
FISHER & PAYKEL,136,3.5,Eco,163.0,0.4639,6.837,No,6.9
FISHER & PAYKEL,136,3.5,Normal Eco,163.0,0.4639,6.837,No,6.9
FISHER & PAYKEL,136,3.5,Normal Eco,163.0,0.4639,6.837,No,6.9
FISHER & PAYKEL,136,3.5,Normal Eco,163.0,0.4639,6.837,No,6.9
FISHER & PAYKEL,136,3.5,Normal Eco,163.0,0.4639,6.837,No,6.9
FISHER & PAYKEL,136,3.5,Normal Eco,163.0,0.4639,6.837,No,6.9
FISHER & PAYKEL,136,3.5,Normal Eco,163.0,0.4639,6.837,No,6.9
IKEA,206,4.5,Eco 45 degrees,186.0,0.17,11.66,Yes,12.2
IKEA,245,4.0,Eco 45 degrees,201.0,0.12,11.45,Yes,12.2
Robinhood,205,3.0,ECO,175.0,0.47,10.9,No,11.2
Euromaid,320,3.0,ECO,185.0,0.50008,12.02,No,12.2
BOSCH,206,4.5,Eco Wash,185.0,0.18,11.43,Yes,12.2
SIEMENS,206,4.5,Eco 45 degrees,185.0,0.18,11.43,Yes,12.2
SAMSUNG ELECTRONICS,275,3.5,Eco,186.0,0.54,12.4,No,12.7
SAMSUNG ELECTRONICS,275,3.5,Eco,186.0,0.54,12.4,No,12.7
SAMSUNG ELECTRONICS,275,3.5,Eco,186.0,0.54,12.4,No,12.7
SAMSUNG ELECTRONICS,255,3.5,Eco,170.0,0.54,11.5,No,11.8
SAMSUNG ELECTRONICS,255,3.5,Eco,170.0,0.54,11.5,No,11.8
SAMSUNG ELECTRONICS,255,3.5,Eco,170.0,0.54,11.5,No,11.8
WHIRLPOOL,230,4.0,Eco 50 degree C,212.0,0.397,10.967,Yes,11.5
WHIRLPOOL,230,4.0,Eco 50 degree C,212.0,0.397,10.967,Yes,11.5
WHIRLPOOL,230,4.0,Eco 50 degree C,212.0,0.397,10.967,Yes,11.5
WHIRLPOOL,230,4.0,Eco 50 degree C,212.0,0.397,10.967,Yes,11.5
Platinum,265,3.0,ECO,170.0,0.46,10.2,No,10.5
WHIRLPOOL,230,4.0,Eco 50 degree C,212.0,0.397,10.967,Yes,11.5
ASKO,272,3.5,ECO,154.0,-,11.24,No,11.3
ASKO,272,3.5,ECO,154.0,-,11.24,No,11.3
ASKO,272,3.5,ECO,154.0,-,11.24,No,11.3
Omega,276,3.5,ECO,189.0,0.679,12.48,No,12.5
WHIRLPOOL,246,4.0,ECO 50 degree C,211.0,0.393,10.94,Yes,11.1
WHIRLPOOL,246,4.0,ECO 50 degree C,211.0,0.393,10.94,Yes,11.1
WHIRLPOOL,246,4.0,ECO 50 degree C,211.0,0.393,10.94,Yes,11.1
ASKO,272,3.5,ECO,154.0,-,11.24,No,11.3
Robinhood,164,2.5,ECO,135.0,0.52,7.4,No,7.4
Inalto,275,3.0,ECO,186.06,-,10.7,No,10.7
Inalto,275,3.0,ECO,186.06,-,10.7,No,10.7
Inalto,275,3.0,ECO,186.06,-,10.7,No,10.7
Kogan,205,2.5,ECO,160.0,0.533,9.157,No,9.4
Kogan,205,2.5,ECO,160.0,0.533,9.157,No,9.4
Kogan,205,2.5,ECO,160.0,0.533,9.157,No,9.4
Kogan,205,2.5,ECO,160.0,0.533,9.157,No,9.4
Kogan,205,2.5,ECO,160.0,0.533,9.157,No,9.4
Inalto,275,3.0,ECO,186.06,-,10.7,No,10.7
Kogan,256,3.0,ECO,170.0,0.46,10.2,No,10.2
Kogan,256,3.0,ECO,170.0,0.46,10.2,No,10.2
Kogan,256,3.0,ECO,170.0,0.46,10.2,No,10.2
Kogan,256,3.0,ECO,170.0,0.46,10.2,No,10.2
Kogan,259,3.5,ECO,170.0,0.47,12.0,No,12.0
Kogan,259,3.5,ECO,170.0,0.47,12.0,No,12.0
Kogan,259,3.5,ECO,170.0,0.47,12.0,No,12.0
Kogan,259,3.5,ECO,170.0,0.47,12.0,No,12.0
Kogan,259,3.5,ECO,170.0,0.47,12.0,No,12.0
Kogan,256,3.0,ECO,170.0,0.46,10.2,No,10.2
Kogan,238,4.0,ECO,195.0,0.511201,11.78,No,11.8
Kogan,238,4.0,ECO,195.0,0.511201,11.78,No,11.8
Kogan,238,4.0,ECO,195.0,0.511201,11.78,No,11.8
Kogan,238,4.0,ECO,195.0,0.511201,11.78,No,11.8
Kogan,238,4.0,ECO,195.0,0.511201,11.78,No,11.8
FISHER & PAYKEL,136,3.5,Eco,203.0,0.376,6.794,No,6.9
FISHER & PAYKEL,136,3.5,Eco,203.0,0.376,6.794,No,6.9
FISHER & PAYKEL,136,3.5,Eco,203.0,0.376,6.794,No,6.9
FISHER & PAYKEL,136,3.5,Eco,203.0,0.376,6.794,No,6.9
FISHER & PAYKEL,136,3.5,Eco,203.0,0.376,6.794,No,6.9
FISHER & PAYKEL,136,3.5,Eco,203.0,0.376,6.794,No,6.9
FISHER & PAYKEL,136,3.5,Eco,203.0,0.376,6.794,No,6.9
FISHER & PAYKEL,136,3.5,Eco,203.0,0.376,6.794,No,6.9
WHIRLPOOL,230,4.0,Eco 50 degree C,211.0,0.4433,10.87,Yes,11.5
Midea,144,1.0,ECO,200.0,0.62,4.9,No,4.9
Midea,144,1.0,ECO,200.0,0.62,4.9,No,4.9
EUROMATIC,267,3.0,ECO,186.06,-,10.7,No,22.0
Midea,270,3.0,ECO,190.0,0.48,10.7,No,10.8
FISHER & PAYKEL,133,3.5,Eco,203.0,0.376,6.794,No,6.9
FISHER & PAYKEL,133,3.5,Eco,203.0,0.376,6.794,No,6.9
FISHER & PAYKEL,133,3.5,Eco,203.0,0.376,6.794,No,6.9
FISHER & PAYKEL,133,3.5,Eco,203.0,0.376,6.794,No,6.9
FISHER & PAYKEL,133,3.5,Eco,203.0,0.376,6.794,No,6.9
FISHER & PAYKEL,133,3.5,Eco,203.0,0.376,6.794,No,6.9
FISHER & PAYKEL,133,3.5,Eco,203.0,0.376,6.794,No,6.9
FISHER & PAYKEL,133,3.5,Eco,203.0,0.376,6.794,No,6.9
FISHER & PAYKEL,133,3.5,Eco,203.0,0.376,6.794,No,6.9
Ilve,294,3.5,ECO,155.15,0.08,13.4,No,13.5
Inalto,259,3.5,ECO,169.0,0.47,12.0,No,12.0
PARMCO,315,3.0,not provided,180.0,0.4999,12.03,No,12.03
PARMCO,315,3.0,not provided,180.0,0.4999,12.03,No,12.03
PARMCO,315,3.0,not provided,180.0,0.4999,12.03,No,12.03
PARMCO,276,3.5,Eco,191.16,0.679,12.48,No,12.48
PARMCO,276,3.5,Eco,191.16,0.679,12.48,No,12.48
PARMCO,276,3.5,Eco,191.16,0.679,12.48,No,12.48
PARMCO,259,3.5,ECO,168.5,0.47,24.0,No,12.0
PARMCO,189,3.5,ECO,209.4,0.478834,11.0,No,11.0
PARMCO,189,3.5,ECO,209.4,0.478834,11.0,No,11.0
PARMCO,189,3.5,ECO,209.4,0.478834,11.0,No,11.0
PARMCO,204,3.0,Normal,110.0,0.035,9.2,No,9.4
PARMCO,204,3.0,Normal,110.0,0.035,9.2,No,9.4
ASKO,275,3.5,ECO wash,155.0,0.5,12.7,No,12.7
ASKO,275,3.5,ECO wash,155.0,0.5,12.7,No,12.7
ASKO,275,3.5,ECO wash,155.0,0.5,12.7,No,12.7
ASKO,295,3.5,ECO wash,169.0,0.5,12.2,No,12.2
ASKO,295,3.5,ECO wash,169.0,0.5,12.2,No,12.2
ASKO,295,3.5,ECO wash,169.0,0.5,12.2,No,12.2
ASKO,295,3.5,ECO wash,169.0,0.5,12.2,No,12.2
ASKO,295,3.5,ECO wash,169.0,0.5,12.2,No,12.2
ASKO,295,3.5,ECO wash,169.0,0.5,12.2,No,12.2
ASKO,295,3.5,ECO wash,169.0,0.5,12.2,No,12.2
KLEENMAID,246,4.0,ECO,195.0,0.43,12.0,No,12.0
KLEENMAID,246,4.0,ECO,195.0,0.43,12.0,No,12.0
KLEENMAID,246,4.0,ECO,195.0,0.43,12.0,No,12.0
KLEENMAID,246,4.0,ECO,195.0,0.43,12.0,No,12.0
Devanti,158,2.5,Normal,130.0,0.52,7.4,No,7.4
Robinhood,294,3.5,ECO,155.0,0.08,13.4,No,13.5
Bertazzoni,245,4.0,Eco 50oC,138.0,0.08,12.0,No,12.2
V-ZUG,210,4.0,Economy,143.0,-,11.4,Yes,11.4
V-ZUG,210,4.0,Economy,143.0,-,11.4,Yes,11.4
V-ZUG,210,4.0,Economy,143.0,-,11.4,Yes,11.4
V-ZUG,210,4.0,Economy,143.0,-,11.4,Yes,11.4
V-ZUG,210,4.0,Economy,143.0,-,11.4,Yes,11.4
V-ZUG,210,4.0,Economy,143.0,-,11.4,Yes,11.4
Haier,285,3.0,Eco,174.0,0.73,11.71,No,11.7
Haier,285,3.0,Eco,174.0,0.73,11.71,No,11.7
Haier,285,3.0,Eco,174.0,0.73,11.71,No,11.7
Haier,285,3.0,Eco,174.0,0.73,11.71,No,11.7
Haier,285,3.0,Eco,174.0,0.73,11.71,No,11.7
Ilve,158,2.5,Normal,129.91,0.52,7.4,No,7.4
Ilve,158,2.5,Normal,129.91,0.52,7.4,No,7.4
Ilve,158,2.5,Normal,129.91,0.52,7.4,No,7.4
Ilve,230,4.0,ECO,195.0,1.03,11.98,No,12.2
Ilve,230,4.0,ECO,195.0,1.03,11.98,No,12.2
Ilve,230,4.0,ECO,195.0,1.03,11.98,No,12.2
Ilve,230,4.0,ECO,195.0,1.03,11.98,No,12.2
AWARD,245,4.0,ECO 50c,136.87,0.08,12.0,No,27.0
BOSCH,235,4.0,Eco 45,167.0,0.074,11.85,Yes,12.0
BOSCH,206,4.5,Eco Wash,185.0,0.18,11.43,Yes,12.2
V-ZUG,181,4.5,Economy,152.0,-,9.5,Yes,9.5
V-ZUG,181,4.5,Economy,152.0,-,9.5,Yes,9.5
V-ZUG,181,4.5,Economy,152.0,-,9.5,Yes,9.5
V-ZUG,181,4.5,Economy,152.0,-,9.5,Yes,9.5
Artusi,299,3.0,Eco 50 degree,142.59,0.06,12.3,No,12.3
Artusi,299,3.0,Eco 50 degree,142.59,0.06,12.3,No,12.3
Artusi,299,3.0,Eco 50 degree,142.59,0.06,12.3,No,12.3
Artusi,299,3.0,Eco 50 degree,142.59,0.06,12.3,No,12.3
Artusi,299,3.0,Eco 50 degree,142.59,0.06,12.3,No,12.3
Ilve,245,4.0,Economic 50℃,136.29,0.08,12.0,No,12.2
Ilve,245,4.0,Economic 50℃,136.29,0.08,12.0,No,12.2
Ilve,245,4.0,Economic 50℃,136.29,0.08,12.0,No,12.2
Ilve,245,4.0,Economic 50℃,136.29,0.08,12.0,No,12.2
FISHER & PAYKEL,136,3.5,Eco,203.0,0.376,6.794,No,6.9
FISHER & PAYKEL,136,3.5,Eco,203.0,0.376,6.794,No,6.9
FISHER & PAYKEL,136,3.5,Eco,203.0,0.376,6.794,No,6.9
FISHER & PAYKEL,136,3.5,Eco,203.0,0.376,6.794,No,6.9
FISHER & PAYKEL,136,3.5,Eco,203.0,0.376,6.794,No,6.9
FISHER & PAYKEL,136,3.5,Eco,203.0,0.376,6.794,No,6.9
Devanti,189,3.5,ECO,209.4,0.478834,11.0,No,11.0
EURO,267,3.0,Eco,185.0,0.48,10.7,No,10.7
EURO,267,3.0,Eco,185.0,0.48,10.7,No,10.7
EURO,267,3.0,Eco,185.0,0.48,10.7,No,10.7
MIELE,189,4.5,Eco,228.0,0.21,9.24,Yes,9.2
MIELE,189,4.5,Eco,228.0,0.21,9.24,Yes,9.2
MIELE,189,4.5,Eco,228.0,0.21,9.24,Yes,9.2
MIELE,189,4.5,Eco,228.0,0.21,9.24,Yes,9.2
MIELE,189,4.5,Eco,228.0,0.21,9.24,Yes,9.2
MIELE,189,4.5,Eco,228.0,0.21,9.24,Yes,9.2
MIELE,197,4.5,Eco,225.0,0.23,9.56,Yes,9.6
MIELE,197,4.5,Eco,225.0,0.23,9.56,Yes,9.6
MIELE,197,4.5,Eco,225.0,0.23,9.56,Yes,9.6
MIELE,197,4.5,Eco,225.0,0.23,9.56,Yes,9.6
MIELE,197,4.5,Eco,225.0,0.23,9.56,Yes,9.6
MIELE,197,4.5,Eco,225.0,0.23,9.56,Yes,9.6
MIELE,197,4.5,Eco,225.0,0.23,9.56,Yes,9.6
MIELE,197,4.5,Eco,225.0,0.23,9.56,Yes,9.6
MIELE,197,4.5,Eco,225.0,0.23,9.56,Yes,9.6
MIELE,197,4.5,Eco,225.0,0.23,9.56,Yes,9.6
Robinhood,256,3.0,Normal,171.13,0.46,10.2,No,10.2
Robinhood,256,3.0,Normal,171.13,0.46,10.2,No,10.2
Robinhood,256,3.0,Normal,171.13,0.46,10.2,No,10.2
Robinhood,256,3.0,Normal,171.13,0.46,10.2,No,10.2
Robinhood,256,3.0,Normal,171.13,0.46,10.2,No,10.2
Devanti,139,1.0,ECO,176.0,0.579,4.95,No,4.95
Everdure,319,3.0,ECO,180.0,0.4,12.5,Yes,12.7
Everdure,319,3.0,ECO,180.0,0.4,12.5,Yes,12.7
Everdure,319,3.0,ECO,180.0,0.4,12.5,Yes,12.7
Devanti,205,2.5,ECO,160.0,0.533,9.157,No,9.4
Devanti,205,2.5,ECO,160.0,0.533,9.157,No,9.4
Franke,295,3.0,ECO,175.0,0.49,12.3,No,12.5
Franke,295,3.0,ECO,175.0,0.49,12.3,No,12.5
Franke,295,3.0,ECO,175.0,0.49,12.3,No,12.5
De’Longhi,246,4.0,Eco,250.0,0.53,11.4,No,12.2
Domain,287,3.0,ECO,175.0,0.49,12.3,No,12.3
Domain,256,3.0,ECO,170.0,0.46,10.2,No,10.2
Domain,238,4.0,ECO,187.2,0.5112,11.8,No,11.8
Domain,205,2.5,ECO,160.0,0.533,9.2,No,9.4
Domain,164,2.5,Normal,135.0,0.52,7.4,No,7.4
Domain,164,2.5,Normal,135.0,0.52,7.4,No,7.4
Domain,164,2.5,Normal,135.0,0.52,7.4,No,7.4
Domain,210,3.0,ECO,175.0,0.47,10.9,No,11.2
Domain,230,4.0,ECO,195.0,1.03,12.0,No,12.2
IKEA,236,3.5,Eco 50°C,205.0,0.33,10.06,Yes,10.4
IKEA,276,3.0,ECO 50°C,195.0,0.34,10.04,Yes,11.5
Di Lusso,256,3.0,Normal,171.0,0.46,10.2,No,10.2
Di Lusso,256,3.0,Normal,171.0,0.46,10.2,No,10.2
Di Lusso,256,3.0,Normal,171.0,0.46,10.2,No,10.2
Di Lusso,259,3.5,Normal,170.0,0.47,12.0,No,12.3
Di Lusso,256,3.0,Normal,185.0,0.46,10.2,No,10.2
Di Lusso,205,3.0,ECO,175.0,0.47,10.9,No,10.9
Di Lusso,205,3.0,ECO,175.0,0.47,10.9,No,10.9
Di Lusso,205,3.0,ECO,175.0,0.47,10.9,No,10.9
Di Lusso,245,3.5,Normal,161.0,0.35,11.8,No,12.7
EURO,295,3.0,ECO,175.0,0.49,12.3,No,12.5
EURO,295,3.0,ECO,175.0,0.49,12.3,No,12.5
EURO,295,3.0,ECO,175.0,0.49,12.3,No,12.5
EURO,295,3.0,ECO,175.0,0.49,12.3,No,12.5
EURO,295,3.0,ECO,175.0,0.49,12.3,No,12.5
Omega,259,3.5,ECO,168.05,-,12.0,No,12.0
Omega,259,3.5,ECO,168.05,-,12.0,No,12.0
Omega,259,3.5,ECO,168.05,-,12.0,No,12.0
Omega,276,3.5,ECO,191.16,-,12.48,No,12.48
Omega,276,3.5,ECO,191.16,-,12.48,No,12.48
Omega,276,3.5,ECO,191.16,-,12.48,No,12.48
Omega,276,3.5,ECO,191.16,-,12.48,No,12.48
Midea,164,2.5,ECO,130.0,0.52,7.4,No,7.4
Midea,164,2.5,ECO,130.0,0.52,7.4,No,7.4
Midea,164,2.5,ECO,130.0,0.52,7.4,No,7.4
Midea,164,2.5,ECO,130.0,0.52,7.4,No,7.4
Platinum,210,3.0,ECO,182.0,0.47,10.9,No,10.9
V-ZUG,111,6.0,Economy,162.0,-,11.2,Yes,11.2
V-ZUG,111,6.0,Economy,162.0,-,11.2,Yes,11.2
V-ZUG,111,6.0,Economy,162.0,-,11.2,Yes,11.2
V-ZUG,111,6.0,Economy,162.0,-,11.2,Yes,11.2
V-ZUG,185,4.5,Economy,168.0,-,10.0,Yes,9.6
V-ZUG,185,4.5,Economy,168.0,-,10.0,Yes,9.6
V-ZUG,185,4.5,Economy,168.0,-,10.0,Yes,9.6
V-ZUG,185,4.5,Economy,168.0,-,10.0,Yes,9.6
V-ZUG,185,4.5,Economy,168.0,-,10.0,Yes,9.6
Artusi,294,3.5,ECO,156.93,0.08,13.4,No,13.5
Artusi,294,3.5,ECO,156.93,0.08,13.4,No,13.5
Artusi,294,3.5,ECO,156.93,0.08,13.4,No,13.5
Artusi,294,3.5,ECO,156.93,0.08,13.4,No,13.5
Omega,189,3.5,ECO,209.4,-,11.0,No,11.0
LG,230,4.0,Eco + Energy Saver,174.0,0.49,10.17,Yes,11.5
LG,230,4.0,Eco + Energy Saver,174.0,0.49,10.17,Yes,11.5
LG,230,4.0,Eco + Energy Saver,174.0,0.49,10.17,Yes,11.5
LG,230,4.0,Eco + Energy Saver,174.0,0.49,10.17,Yes,11.5
LG,230,4.0,Eco + Energy Saver,174.0,0.49,10.17,Yes,11.5
BEKO,275,3.5,Eco 45ºC,133.0,0.34,13.78,No,13.8
BEKO,275,3.5,Eco 45ºC,133.0,0.34,13.78,No,13.8
BEKO,275,3.5,Eco 45ºC,133.0,0.34,13.78,No,13.8
BEKO,275,3.5,Eco 45ºC,133.0,0.34,13.78,No,13.8
Teka,299,3.0,eco 50℃,143.0,0.06,12.3,No,12.8
Omega,246,4.0,ECO,203.92,0.43,12.0,No,12.0
Omega,246,4.0,ECO,203.92,0.43,12.0,No,12.0
Omega,189,3.5,ECO,180.0,0.478834,11.0,No,11.0
FISHER & PAYKEL,295,3.5,Eco,206.0,0.52,11.5,No,12.2
